Company Name,CityU URL
ESG GO,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-go
ESG Platform for Charity Fundraising,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-platform-for-charity-fundraising
ESGeo-Ais,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esgeo-ais
ESSAA Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/creatogether
Eurybia Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/eurybia-technology-limited
EVE (EV Experience),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ev-experience
Ever View Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/ever-view-technology
Evergreen,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/evergreen
Everybaba,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/everybaba
Evoke A.I. Education – AccuWrite,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/evoke-ai-education-accuwrite
EXES,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/exes
Exhib!t,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/exhib%21t
Expando World Limited,https://www.cityu.edu.hk/hktech300/start-ups/expando-world-limited
Fab2care,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/fab2care
Factgie,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/factgie
Famchat - A digital social platform for the elderly,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/famchat
Fantasktic – Supercharge Classroom Learning,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/fantasktic
FarFit,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/farfit
Farm66 Investment Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/farm66
Farrago AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/farrago-ai
Feelings AI,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/feelings-ai
Fetal Movement Detection,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/fetal-movement-detection
FIGTION LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/figtion-limited
FinBridge,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/finbridge
FinCatch,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/fincatch
